type,a,b,c
EDGE,0,1,4
EDGE,0,2,8
EDGE,1,2,2
EDGE,1,3,5
EDGE,2,3,5
EDGE,2,4,9
EDGE,3,4,3
EDGE,3,5,6
EDGE,4,5,2
EDGE,0,5,15
EDGE,1,5,12
EDGE,2,5,7

SOURCE_GOAL,0,5,

HEURISTIC,0,0,0
HEURISTIC,0,1,4
HEURISTIC,0,2,6
HEURISTIC,0,3,7
HEURISTIC,0,4,8
HEURISTIC,0,5,9
HEURISTIC,1,0,4
HEURISTIC,1,1,0
HEURISTIC,1,2,2
HEURISTIC,1,3,5
HEURISTIC,1,4,7
HEURISTIC,1,5,6
HEURISTIC,2,0,6
HEURISTIC,2,1,2
HEURISTIC,2,2,0
HEURISTIC,2,3,3
HEURISTIC,2,4,4
HEURISTIC,2,5,7
HEURISTIC,3,0,7
HEURISTIC,3,1,5
HEURISTIC,3,2,3
HEURISTIC,3,3,0
HEURISTIC,3,4,2
HEURISTIC,3,5,6
HEURISTIC,4,0,8
HEURISTIC,4,1,7
HEURISTIC,4,2,4
HEURISTIC,4,3,2
HEURISTIC,4,4,0
HEURISTIC,4,5,5
HEURISTIC,5,0,9
HEURISTIC,5,1,6
HEURISTIC,5,2,7
HEURISTIC,5,3,6
HEURISTIC,5,4,5
HEURISTIC,5,5,0
