id,pickup,delivery,weight,priority,readyTime
1,0,4,2.5,10,8.0
2,1,5,3.0,8,9.0
3,2,6,5.0,9,8.0
4,0,7,1.0,5,10.0
5,3,5,4.0,7,6.0
6,1,6,2.0,6,7.0
7,2,4,1.5,4,9.0
8,0,3,3.5,8,12.0
9,5,7,2.2,9,11.0
10,4,6,1.8,5,10.5
11,0,2,2.0,6,9.0
12,1,7,3.3,7,8.5
13,2,5,1.7,10,9.5
14,3,6,4.1,6,7.5
15,0,5,2.8,8,10.0
16,1,4,3.6,9,8.0
17,2,7,2.1,5,11.0
18,3,5,1.9,6,10.5
19,0,6,4.5,10,9.0
20,1,3,2.3,7,8.0
21,2,4,3.0,8,9.5
22,3,7,1.6,5,10.0
23,0,5,2.2,9,7.5
24,1,6,3.9,6,11.0
25,2,3,1.5,7,10.0
26,3,4,2.7,8,9.0
27,0,7,3.1,10,12.0
28,1,5,4.2,9,8.0
29,2,6,1.9,6,10.5
30,3,7,2.5,7,9.5
31,0,3,3.8,5,8.0
32,1,4,2.6,8,9.0
33,2,5,3.2,10,11.0
34,3,6,1.7,6,7.5
35,0,4,2.9,7,10.0
36,1,7,3.0,9,8.5
37,2,3,2.1,8,11.0
38,3,5,1.4,6,9.0
39,0,6,4.0,10,12.0
40,1,4,2.7,7,10.5
41,2,7,3.5,9,8.0
42,3,6,1.9,5,11.0
43,0,5,2.8,8,9.5
44,1,3,3.1,6,10.0
45,2,4,1.5,7,9.0
46,3,7,2.6,10,12.0
47,0,6,3.3,9,8.5
48,1,5,4.0,6,10.5
49,2,3,2.2,7,9.0
50,3,4,1.8,5,8.0

