section,type,a,b,c
GRAPH_CONFIG,nodes,10,,
GRAPH_CONFIG,roads,15,,

GRAPH_EDGE,0,1,4,
GRAPH_EDGE,0,2,8,
GRAPH_EDGE,1,2,2,
GRAPH_EDGE,1,3,5,
GRAPH_EDGE,2,3,5,
GRAPH_EDGE,2,4,9,
GRAPH_EDGE,3,4,3,
GRAPH_EDGE,3,5,6,
GRAPH_EDGE,4,5,2,
GRAPH_EDGE,5,6,4,
GRAPH_EDGE,6,7,3,
GRAPH_EDGE,7,8,6,
GRAPH_EDGE,8,9,5,
GRAPH_EDGE,6,9,7,
GRAPH_EDGE,2,9,10,

HOSPITAL,source,0,,

PATIENT_CONFIG,count,20,,
PATIENT,Amit,5,,
PATIENT,Ravi,9,,
PATIENT,Neha,4,,
PATIENT,Suman,7,,
PATIENT,Kiran,6,,
PATIENT,Pooja,8,,
PATIENT,Rahul,3,,
PATIENT,Anita,10,,
PATIENT,Vikas,2,,
PATIENT,Sneha,6,,
PATIENT,Arjun,7,,
PATIENT,Meena,5,,
PATIENT,Rohit,8,,
PATIENT,Kavya,4,,
PATIENT,Manoj,9,,
PATIENT,Divya,6,,
PATIENT,Suresh,3,,
PATIENT,Nisha,7,,
PATIENT,Akash,8,,
PATIENT,Priya,5,,

BED_CONFIG,count,30,,
BED,101,,,
BED,205,,,
BED,150,,,
BED,300,,,
BED,180,,,
BED,90,,,
BED,220,,,
BED,170,,,
BED,400,,,
BED,350,,,
BED,275,,,
BED,125,,,
BED,160,,,
BED,210,,,
BED,95,,,
BED,185,,,
BED,260,,,
BED,310,,,
BED,330,,,
BED,140,,,
BED,165,,,
BED,175,,,
BED,195,,,
BED,215,,,
BED,225,,,
BED,240,,,
BED,255,,,
BED,270,,,
BED,290,,,
BED,305,,,

MEDICINE_CONFIG,count,25,,
MEDICINE,Paracetamol,10,,
MEDICINE,Insulin,3,,
MEDICINE,Aspirin,15,,
MEDICINE,Amoxicillin,7,,
MEDICINE,Ibuprofen,12,,
MEDICINE,CoughSyrup,5,,
MEDICINE,VitaminC,20,,
MEDICINE,Metformin,4,,
MEDICINE,Atorvastatin,8,,
MEDICINE,Omeprazole,6,,
MEDICINE,Azithromycin,9,,
MEDICINE,Antacid,14,,
MEDICINE,Saline,2,,
MEDICINE,Painkiller,11,,
MEDICINE,AntibioticX,13,,
MEDICINE,Glucose,1,,
MEDICINE,Calcium,18,,
MEDICINE,Iron,16,,
MEDICINE,ORS,3,,
MEDICINE,Antiviral,7,,
MEDICINE,Steroid,5,,
MEDICINE,Antifungal,6,,
MEDICINE,EyeDrops,9,,
MEDICINE,NasalSpray,4,,
MEDICINE,VitaminD,17,,

