SensorID,Location,WaterLevel
101,River A,3
102,Dam B,5
103,River C,2
104,Lake D,4
105,Canal E,6
106,River F,7
107,Dam G,5
108,Lake H,3
109,Canal I,4
110,River J,2
111,River K,6
112,Dam L,5
113,Lake M,3
114,Canal N,7
115,River O,4
116,Dam P,2
117,Lake Q,5
118,Canal R,6
119,River S,3
120,Dam T,4
121,Lake U,5
122,Canal V,6
123,River W,2
124,Dam X,3
125,Lake Y,7
126,Canal Z,5
127,River AA,4
128,Dam BB,6
129,Lake CC,3
130,Canal DD,2
131,River EE,5
132,Dam FF,4
133,Lake GG,6
134,Canal HH,7
135,River II,3
136,Dam JJ,5
137,Lake KK,2
138,Canal LL,4
139,River MM,6
140,Dam NN,5
141,Lake OO,3
142,Canal PP,7
143,River QQ,4
144,Dam RR,2
145,Lake SS,5
146,Canal TT,6
147,River UU,3
148,Dam VV,4
149,Lake WW,5
150,Canal XX,6

