Operation,VehicleNumber,VIP
1,KA01AB1234,0
1,KA02CD5678,1
1,KA03EF9101,0
1,KA04GH1121,1
1,KA05IJ3141,0
1,KA06KL5161,1
1,KA07MN7181,0
1,KA08OP9202,0
1,KA09QR1223,1
1,KA10ST3243,0
3,,
4,KA03EF9101,
2,KA02CD5678,
1,KA11UV5264,0
1,KA12WX7285,1
1,KA13YZ9306,0
3,,
4,KA06KL5161,
2,KA01AB1234,
1,KA14AB1327,1
1,KA15CD3348,0
1,KA16EF5369,1
1,KA17GH7380,0
1,KA18IJ9401,0
3,,
4,KA14AB1327,
2,KA03EF9101,
1,KA19KL1422,1
1,KA20MN3443,0
1,KA21OP5464,1
1,KA22QR7485,0
1,KA23ST9506,0
3,,
4,KA22QR7485,
2,KA04GH1121,
1,KA24UV1527,1
1,KA25WX3548,0
1,KA26YZ5569,1
1,KA27AB7580,0
1,KA28CD9601,0
3,,
4,KA26YZ5569,
2,KA05IJ3141,
1,KA29EF1622,1
1,KA30GH3643,0
1,KA31IJ5664,1
1,KA32KL7685,0
3,,
5,,

