id,name,basePrice,stock,soldToday,dailyViews,expiryDays,perishable,lastUpdateHour,currentPrice
101,Veg Burger,100.0,50,20,120,3,1,12,100.0
102,Chicken Burger,150.0,40,15,90,5,1,12,150.0
103,French Fries,60.0,30,25,200,2,1,12,60.0
104,Margherita Pizza,250.0,20,10,80,4,1,12,250.0
105,Coke,40.0,100,50,500,365,0,12,40.0
106,Pasta,180.0,25,5,30,6,1,12,180.0
107,Salad,120.0,15,8,50,1,1,12,120.0
108,Cheese Burger,160.0,35,12,70,4,1,12,160.0
109,Chicken Wings,200.0,45,18,150,3,1,12,200.0
110,Chocolate Cake,300.0,10,5,20,2,1,12,300.0
111,Vanilla Ice Cream,90.0,50,22,100,2,1,12,90.0
112,Lemonade,50.0,60,40,250,365,0,12,50.0
113,Espresso,80.0,30,15,60,365,0,12,80.0
114,Cappuccino,100.0,25,18,75,365,0,12,100.0
115,Latte,120.0,20,10,55,365,0,12,120.0
116,Mocha,130.0,18,8,40,365,0,12,130.0
117,Apple Pie,150.0,12,6,30,3,1,12,150.0
118,Pumpkin Pie,140.0,14,7,35,4,1,12,140.0
119,Baguette,60.0,40,20,90,2,1,12,60.0
120,Bread Loaf,55.0,35,18,80,3,1,12,55.0
121,Donut,30.0,50,25,120,2,1,12,30.0
122,Croissant,40.0,45,22,100,2,1,12,40.0
123,Muffin,35.0,40,20,90,2,1,12,35.0
124,Blueberry Muffin,38.0,35,18,85,2,1,12,38.0
125,Chocolate Muffin,40.0,30,15,80,2,1,12,40.0
126,Omelette,70.0,25,10,50,1,1,12,70.0
127,Pancakes,60.0,20,12,45,2,1,12,60.0
128,Waffles,65.0,22,14,55,2,1,12,65.0
129,French Toast,55.0,18,8,30,2,1,12,55.0
130,Bacon,80.0,15,10,40,3,1,12,80.0
131,Sausage,75.0,20,12,45,3,1,12,75.0
132,Grilled Chicken,150.0,25,15,70,4,1,12,150.0
133,Steak,250.0,12,6,30,5,1,12,250.0
134,Salmon,200.0,18,8,35,4,1,12,200.0
135,Shrimp Pasta,180.0,20,10,50,3,1,12,180.0
136,Fruit Salad,90.0,25,12,60,2,1,12,90.0
137,Greek Salad,100.0,20,10,50,2,1,12,100.0
138,Caesar Salad,110.0,18,8,45,2,1,12,110.0
139,Smoothie,80.0,30,15,70,2,1,12,80.0
140,Protein Shake,90.0,25,12,60,2,1,12,90.0
141,Iced Tea,50.0,60,40,200,365,0,12,50.0
142,Orange Juice,55.0,50,35,180,365,0,12,55.0
143,Lemon Juice,50.0,45,30,160,365,0,12,50.0
144,Mineral Water,30.0,100,50,300,365,0,12,30.0
145,Energy Drink,70.0,40,20,100,365,0,12,70.0
146,Chicken Nuggets,120.0,25,12,50,3,1,12,120.0
147,Spring Roll,60.0,30,15,70,2,1,12,60.0
148,Dim Sum,100.0,20,10,40,2,1,12,100.0
149,Fried Rice,90.0,25,12,50,3,1,12,90.0
150,Noodles,80.0,30,15,60,3,1,12,80.0

