# Zones and Roads
Zones,50
Roads,70

# Edges (u,v,weight)
0,1,4
0,2,7
0,3,3
1,4,6
1,5,2
2,6,5
2,7,8
3,8,4
3,9,6
4,10,3
5,11,5
6,12,2
7,13,7
8,14,6
9,15,5
10,16,4
11,17,3
12,18,6
13,19,2
14,20,8
15,21,7
16,22,5
17,23,6
18,24,4
19,25,3
20,26,7
21,27,5
22,28,6
23,29,4
24,30,8
25,31,7
26,32,3
27,33,5
28,34,6
29,35,4
30,36,7
31,37,5
32,38,3
33,39,6
34,40,8
35,41,4
36,42,7
37,43,5
38,44,6
39,45,4
40,46,7
41,47,3
42,48,5
43,49,6
44,0,8
45,1,7
46,2,4
47,3,6
48,4,5
49,5,3
6,7,4
8,9,5
10,11,6
12,13,3
14,15,4
16,17,5
18,19,6
20,21,3
22,23,4
24,25,5
26,27,6
28,29,3
30,31,4
32,33,5
34,35,6
36,37,3
38,39,4
40,41,5
42,43,6
44,45,3
46,47,4
48,49,5
0,25,7
1,26,6
2,27,5
3,28,8

# Source Hospital Zone
Source,0

# Resources (name, urgency)
ResourceCount,50
Water,15
Food,12
Medicine,20
Electricity,10
Fuel,18
Oxygen,25
Blankets,8
Masks,14
Sanitizer,16
Bandages,19
Gloves,7
Tent,13
Generator,11
Laptop,6
Radio,9
Lamp,5
Battery,12
Clothes,10
Shoes,8
WaterPurifier,17
FoodPack,15
MedicineKit,22
SolarPanel,14
Heater,11
Cooler,10
AirFilter,9
Pump,8
Drill,7
Hammer,6
Nails,5
Rope,4
Map,3
Compass,2
WalkieTalkie,12
Torch,11
Chair,8
Table,7
Paper,5
Pen,4
Notebook,3
Glasses,6
Mask,10
Helmet,9
FirstAidKit,21
Spray,8
Soap,14
Shovel,12
Wheelbarrow,7

