section,type,a,b,c
GRAPH,EDGE,0,1,4
GRAPH,EDGE,0,2,8
GRAPH,EDGE,1,2,2
GRAPH,EDGE,1,3,5
GRAPH,EDGE,2,3,5
GRAPH,EDGE,2,4,9
GRAPH,EDGE,3,4,3
GRAPH,EDGE,3,5,6
GRAPH,EDGE,4,5,2
GRAPH,EDGE,0,5,15
GRAPH,EDGE,1,5,12
GRAPH,EDGE,2,5,7

CONFIG,SOURCE_GOAL,0,5,

BUS,HEURISTIC,0,0,0
BUS,HEURISTIC,0,1,4
BUS,HEURISTIC,0,2,6
BUS,HEURISTIC,0,3,7
BUS,HEURISTIC,0,4,8
BUS,HEURISTIC,0,5,9
BUS,HEURISTIC,1,0,4
BUS,HEURISTIC,1,1,0
BUS,HEURISTIC,1,2,2
BUS,HEURISTIC,1,3,5
BUS,HEURISTIC,1,4,7
BUS,HEURISTIC,1,5,6
BUS,HEURISTIC,2,0,6
BUS,HEURISTIC,2,1,2
BUS,HEURISTIC,2,2,0
BUS,HEURISTIC,2,3,3
BUS,HEURISTIC,2,4,4
BUS,HEURISTIC,2,5,7
BUS,HEURISTIC,3,0,7
BUS,HEURISTIC,3,1,5
BUS,HEURISTIC,3,2,3
BUS,HEURISTIC,3,3,0
BUS,HEURISTIC,3,4,2
BUS,HEURISTIC,3,5,6
BUS,HEURISTIC,4,0,8
BUS,HEURISTIC,4,1,7
BUS,HEURISTIC,4,2,4
BUS,HEURISTIC,4,3,2
BUS,HEURISTIC,4,4,0
BUS,HEURISTIC,4,5,5
BUS,HEURISTIC,5,0,9
BUS,HEURISTIC,5,1,6
BUS,HEURISTIC,5,2,7
BUS,HEURISTIC,5,3,6
BUS,HEURISTIC,5,4,5
BUS,HEURISTIC,5,5,0
